MoonRise,Az,Phase,Paksha,days,Fullmoon,Newmoon,Eclipse
-01496-02-15,60.3167,93.986,Shukla,22600.0,0,0,0.0
-01496-02-16,62.5457,98.10799999999999,Shukla,22599.0,0,0,0.0
-01496-02-17,65.4289,99.789,Shukla,22598.0,1,0,0.0
-01496-02-18,70.7466,99.11399999999999,Krishna,22597.0,0,0,0.0
-01496-02-19,76.2159,96.273,Krishna,22596.0,0,0,0.0
-01496-02-20,81.4637,91.561,Krishna,22595.0,0,0,0.0
-01496-02-21,88.1693,85.213,Krishna,22594.0,0,0,0.0
-01496-02-22,93.9866,77.608,Krishna,22593.0,0,0,0.0
-01496-02-23,100.6655,68.954,Krishna,22592.0,0,0,0.0
-01496-02-24,105.8731,59.641000000000005,Krishna,22591.0,0,0,0.0
-01496-02-25,111.382,49.843,Krishna,22590.0,0,0,0.0
-01496-02-26,115.8805,39.918,Krishna,22589.0,0,0,0.0
-01496-02-27,119.0989,30.201,Krishna,22588.0,0,0,0.0
-01496-02-28,120.8281,21.081,Krishna,22587.0,0,0,0.0
