date	type	umb_mag	par_start_time	par_start_alt	mid_ecl_time	mid_ecl_alt	par_end_time	par_end_alt	vis00	vis05	vis10	direction	ynum	pp_range	astro_date	mnum	dnum	astro_jd	astro_mjd
-18-Jun-25	T	1.283	05:46	10	07:38	33	09:31	51	True	True	False	west	-18	True	-00018-06-25	6	25	1714660.5	-685340.0
-3-Mar-13	P	0.358	05:02	2	06:11	18	07:20	35	True	False	False	west	-3	True	-00003-03-13	3	13	1720035.5	-679965.0
2-Nov-09	P	0.459	02:57	-20	04:13	-3	05:30	15	True	True	True	west	2	True	0002-11-09	11	9	1722102.5	-677898.0
8-Feb-10	P	0.483	03:15	-23	04:31	-6	05:48	11	True	True	True	west	8	True	0008-02-10	2	10	1724021.5	-675979.0
14-Apr-04	T	1.791	05:27	8	07:18	35	09:10	60	True	True	False	west	14	True	0014-04-04	4	4	1726266.5	-673734.0
28-Jan-01	P	0.683	02:42	-26	04:03	-9	05:25	9	True	True	False	west	28	True	0028-01-01	1	1	1731286.5	-668714.0
36-Jul-27	T	1.72	01:23	-51	03:20	-25	05:18	2	True	False	False	west	36	True	0036-07-27	7	27	1734416.5	-665584.0
62-Mar-14	P	0.716	02:09	-41	03:38	-20	05:07	1	True	False	False	west	62	True	0062-03-14	3	14	1743777.5	-656223.0
64-Jul-17	P	0.493	05:55	11	07:14	28	08:32	43	True	True	True	west	64	True	0064-07-17	7	17	1744633.5	-655367.0
66-Jun-26	P	0.414	05:21	4	06:27	18	07:34	31	True	False	False	west	66	True	0066-06-26	6	26	1745342.5	-654658.0
73-Feb-11	P	0.68	05:20	6	06:41	25	08:03	44	True	True	False	west	73	True	0073-02-11	2	11	1747764.5	-652236.0
75-Jun-17	P	0.993	05:17	4	06:50	23	08:24	41	True	False	False	west	75	True	0075-06-17	6	17	1748620.5	-651380.0
78-Apr-16	P	0.098	05:02	2	05:40	11	06:19	20	True	False	False	west	78	True	0078-04-16	4	16	1749654.5	-650346.0
94-Jun-17	T	1.553	05:35	8	07:20	30	09:06	48	True	True	False	west	94	True	0094-06-17	6	17	1755560.5	-644440.0
