date	index	jd	lati_Jupiter	lati_Mars	lati_Mercury	lati_Moon	lati_Saturn	lati_Sun	lati_Venus	long_Jupiter	long_Mars	long_Mercury	long_Moon	long_Saturn	long_Sun	long_Venus	long_jyeshta
-575-06-29	126556	1511224.5	-1.510474996282675	0.42181966943137295	1.267408333584992	4.483942399054567	1.8206401832586363	0.0	0.17835295757096895	358.9607156524225	67.11687671093881	114.20390642843813	299.1561063041967	226.00092989080426	94.83840929476256	140.6609806510487	213.71128493150684
-575-07-06	126557	1511231.5	-1.5438198230168714	0.4955399906532999	0.4662544791956119	2.468260703673608	1.795630860506061	0.0	-0.5309311735980705	359.3728825657772	71.64485695754756	124.99502392281613	29.62311691291609	225.7901022814557	101.55320839911366	147.3490486241446	213.71132273972603
-575-07-13	126558	1511238.5	-1.5776282653969358	0.5695715440203885	-0.5501774740459745	-4.926198877664834	1.769623958400496	0.0	-1.3504304098650748	359.6319868111273	76.13845560826945	134.43475957171256	131.02652626315137	225.65264837820862	108.2873512990317	153.64370737755303	213.71136054794522
-575-07-20	126559	1511245.5	-1.6113559975367149	0.6439878021363803	-1.6945775991416183	-1.196754277292553	1.7429794224903352	0.0	-2.277528961298564	359.7319930715123	80.59774290637915	142.2769176374748	224.06826105445128	225.59184328623988	115.04324474093004	159.43374633531266	213.71139835616438
-575-07-27	126560	1511252.5	-1.6443408197699136	0.718883052467275	-2.8547594842241075	4.852115727577172	1.7160387365583174	0.0	-3.3055895992636812	359.6693836953592	85.02254009316245	147.9178431173361	307.6254636811853	225.60952644128062	121.82303331525259	164.56817925274004	213.71143616438357
-575-08-03	126561	1511259.5	-1.6758048793436933	0.7943725936728822	-3.810770994541449	1.5787550503995649	1.689118202752943	0.0	-4.419740508667095	359.44400160451505	89.41237923037937	150.1842728537741	38.91829470705443	225.70621030617428	128.62856558177202	168.84322363578588	213.71147397260273
-575-08-10	126562	1511266.5	-1.7048697985988908	0.8705930874545069	-4.0641523094655305	-5.1185597956235975	1.6625045752489225	0.0	-5.587883285315762	359.0599233801496	93.76645956919958	147.516960364976	140.50036816317322	225.88121001295482	135.46136166912083	171.9914813336052	213.71151178082192
-575-08-17	126563	1511273.5	-1.7305882859371349	0.9477030762700376	-2.9132700932405933	-0.3111348250334929	1.6364527744478825	0.0	-6.743440652342608	358.5262635867051	98.08359958454588	140.48928154913608	232.54272504179244	226.13278282732014	142.32258302069204	173.68805650342574	213.71154958904108
-575-08-24	126564	1511280.5	-1.7519940734754331	1.025883674680766	-0.6901071625632164	5.075322241186256	1.6111853176025823	0.0	-7.758750502333322	357.8577770863272	102.36218359289234	135.4739964201018	316.13740676864256	226.4582684362857	149.21300508029051	173.61048934076416	213.71158739726027
-575-08-31	126565	1511287.5	-1.7681687769710266	1.105339438378494	1.128123614119872	0.6284773418284068	1.5868930713742309	0.0	-8.424584407649268	357.07510738943915	106.6001016130628	138.14776568965522	48.26163169268318	226.85422337349186	156.13299381935485	171.61284077994992	213.71162520547946
-575-09-07	126566	1511294.5	-1.7783198233095407	1.1862994088945884	1.917517880789951	-5.125647394698904	1.5637369461792003	0.0	-8.489590172707121	356.20454101124136	110.79468079080016	146.9784648790736	149.92359393116055	227.31654510257468	163.08248707746108	168.02184805021125	213.71166301369863
-575-09-14	126567	1511301.5	-1.7818590188383745	1.2690183220695057	1.9122743127071529	0.5804641427148332	1.5418501947183965	0.0	-7.810996503876907	355.2771813209745	114.94260627962757	158.30553865364982	240.97760370489	227.8405831935995	170.06098173053888	163.81942062452504	213.71170082191782
-575-09-21	126568	1511308.5	-1.7784683468989242	1.3537779516964328	1.4601120264728285	5.145167964336496	1.521341033732002	0.0	-6.5051061094585405	354.32754924024215	119.03982891824762	170.09730282211558	324.69234869072017	228.42123656469826	177.0675276822118	160.31687728112092	213.71173863013698
-575-09-28	126569	1511315.5	-1.7681398731642652	1.4408885323148355	0.7902849021398853	-0.3489500563001068	1.5022953681256497	0.0	-4.882188784539543	353.39173349962715	123.08145635174805	181.6908824805116	57.65430523682978	229.05303690654517	184.10072959748265	158.48292218297982	213.71177643835617
